id,question,context,answers,scores,user
uni_qa_api_context_6503_0_0,Chương trình đào tạo ngành Cơ điện tử của trường Đại học Bách khoa Hà Nội được công nhận bởi Hiệp hội nào?,"
Trường Cơ khí, Đại học Bách khoa Hà Nội - Đào tạo - Sau đại học:
Bậc Thạc sĩ Kỹ thuật / Thạc sĩ Khoa họcThời gian đào tạo: 1 năm sau khi tốt nghiệp Kỹ sư hoặc 2 năm sau khi tốt nghiệp Cử nhân
Ngành đào tạo: Chế tạo máy, Cơ điện tử, Cơ học kỹ thuật, Công nghệ HànBậc Tiến sĩThời gian đào tạo: 3 năm sau khi tốt nghiệp Thạc sĩ hoặc 4 năm sau khi tốt nghiệp Kỹ sư
Ngành đào tạo: Cơ học vật rắn, Kỹ thuật Cơ khí (Kỹ thuật máy công cụ, Thiết bị và hệ thống điều khiển tự động, Công nghệ chế tạo máy, Công nghệ Cơ khí chính xác và Quang học), Kỹ thuật hànQuy trình đào tạo và tốt nghiệpChương trình đào tạo được xây dựng trên cơ sở tham khảo chương trình đào tạo ngành Cơ điện tử của trường đại học công lập California State University, Chico. Chương trình đào tạo kỹ sư cơ điện tử của CSUC đến nay là chương trình đào tạo Cơ điện tử duy nhất của Hoa Kỳ được Hiệp hội đánh giá chất lượng chương trình đào tạo về khoa học ứng dụng, kỹ thuật máy tính, kỹ thuật và công nghệ Hoa Kỳ (ABET) công nhận. Trưởng điều hành GS. Ramesh Varahamuti. Giảng viên là những giáo sư của trường ĐHBKHN và một số trường, viện nghiên cứu có kinh nghiệm giảng dạy, từng dạy và học tại các nước nói tiếng Anh; một số môn học sẽ do giáo sư của trường Đại học Bách Khoa Hà Nội trực tiếp giảng dạy.","['Chương trình đào tạo ngành Cơ điện tử của trường Đại học Bách khoa Hà Nội được Hiệp hội đánh giá chất lượng chương trình đào tạo về khoa học ứng dụng, kỹ thuật máy tính, kỹ thuật và công nghệ Hoa Kỳ (ABET) công nhận.', '  Chương trình đào tạo ngành Cơ điện tử của trường Đại học Bách khoa Hà Nội được công nhận bởi Hiệp hội đánh giá chất lượng chương trình đào tạo về khoa học ứng dụng, kỹ thuật máy tính, kỹ thuật và công nghệ Hoa Kỳ (ABET). ', '\nHiệp hội đánh giá chất lượng chương trình đào tạo về khoa học ứng dụng, kỹ thuật máy tính, kỹ thuật và công nghệ Hoa Kỳ (ABET) ']","[5, 5, 2]",
qa_test_phase_1_268_0_0,thời hạn nộp đơn xin bổ sung người hướng dẫn luận văn thạc sĩ,,"['Xin lỗi, tôi không có thông tin để trả lời câu hỏi', '\n\n Thời hạn nộp đơn xin bổ sung người hướng dẫn luận văn thạc sĩ thường là vào đầu học kỳ, thường là vào tháng 1 hoặc tháng 2. Tuy nhiên, điều này có thể thay đổi tùy thuộc vào trường đại học hoặc chương trình cụ thể. Bạn nên kiểm tra với văn phòng học thuật hoặc chương trình của bạn để biết thông tin chính xác. ', '  Thời hạn nộp đơn xin bổ sung người hướng dẫn luận văn thạc sĩ thường là vào đầu học kỳ. Tuy nhiên, thời hạn chính xác có thể thay đổi tùy thuộc vào trường đại học hoặc chương trình cụ thể. Để đảm bảo bạn không bỏ lỡ thời hạn quan trọng này, tốt nhất là kiểm tra với văn phòng học thuật hoặc cố vấn học tập của bạn để biết thông tin chính xác. ', '\n\n Thời hạn nộp đơn xin bổ sung người hướng dẫn luận văn thạc sĩ thường được xác định bởi trường đại học hoặc cơ sở giáo dục nơi chương trình thạc sĩ được tổ chức. Bạn nên kiểm tra với bộ phận học thuật hoặc văn phòng sinh viên để biết thông tin cụ thể về thời hạn và quy trình nộp đơn. ', '  Thời hạn nộp đơn xin bổ sung người hướng dẫn luận văn thạc sĩ có thể thay đổi tùy thuộc vào trường đại học hoặc chương trình học. Để đảm bảo bạn không bỏ lỡ thời hạn, bạn nên kiểm tra với văn phòng học thuật hoặc cố vấn học tập của bạn để biết thông tin chính xác. Thông thường, thời hạn nộp đơn có thể là vào đầu học kỳ hoặc cuối học kỳ, nhưng điều này có thể khác nhau giữa các trường đại học và chương trình học. ', '\n\n Thời hạn nộp đơn xin bổ sung người hướng dẫn luận văn thạc sĩ thường là vào đầu học kỳ. Tuy nhiên, thời hạn cụ thể có thể thay đổi tùy thuộc vào trường đại học hoặc chương trình. Tốt nhất là kiểm tra với văn phòng học thuật hoặc cố vấn học tập của bạn để biết thông tin chính xác. ', '  Thời hạn nộp đơn xin bổ sung người hướng dẫn luận văn thạc sĩ thường là vào đầu học kỳ. Tuy nhiên, thời hạn cụ thể có thể thay đổi tùy thuộc vào trường đại học hoặc chương trình. Để đảm bảo bạn không bỏ lỡ thời hạn quan trọng này, tốt nhất là kiểm tra với văn phòng học thuật hoặc cố vấn học tập của bạn để biết thông tin chính xác. ']","[3, 1, 3, 4, 5, 2, 2]",
uni_qa_api_context_9225_0_0,Trường Đại học Bách Khoa Hà Nội có khoa nào chuyên về du lịch và ẩm thực?,,"['Xin lỗi, tôi không có thông tin để trả lời câu hỏi', '  Trường Đại học Bách Khoa Hà Nội không có khoa chuyên về du lịch và ẩm thực. Tuy nhiên, bạn có thể tìm hiểu về các khoa và chuyên ngành của trường bằng cách truy cập trang web chính thức của họ hoặc liên hệ trực tiếp với trường để biết thông tin chính xác. ', '  Trường Đại học Bách khoa Hà Nội chủ yếu tập trung vào các lĩnh vực kỹ thuật và khoa học. Mặc dù trường có thể có một số khóa học hoặc chương trình liên quan đến du lịch và ẩm thực, nhưng không có khoa chuyên về những lĩnh vực này. ', '  Trường Đại học Bách Khoa Hà Nội không có khoa chuyên về du lịch và ẩm thực. Tuy nhiên, có một số trường đại học khác tại Việt Nam có khoa chuyên về các lĩnh vực này, như Đại học Khoa học Xã hội và Nhân văn, Đại học Kinh tế Quốc dân, và Đại học Thương mại. ', '  Trường Đại học Bách Khoa Hà Nội có một số khoa, nhưng không có khoa cụ thể nào chuyên về du lịch và ẩm thực. Tuy nhiên, bạn có thể tìm hiểu về các khoa và chuyên ngành của trường trên trang web chính thức của họ hoặc liên hệ trực tiếp với trường để có thông tin chính xác nhất. ', '  Trường Đại học Bách Khoa Hà Nội có một số khoa, nhưng không có khoa cụ thể nào chuyên về du lịch và ẩm thực. Tuy nhiên, bạn có thể liên hệ trực tiếp với trường đại học hoặc truy cập trang web chính thức của họ để tìm hiểu về các khoa và chuyên ngành của họ. ']","[2, 4, 5, 2, 3, 3]",
qa_test_phase_1_532_0_0,em muốn xin giấy chứng nhận học bổng khuyến khích học tập ở đâu,"Căn cứ vào kết quả học tập và rèn luyện Nhà trường sẽ tổ chức xét cấp học bổng khuyến khích học tập cho sinh viên (sinh viên không cần phải đăng ký).
Học bổng khuyến khích học tập được xét dựa trên kết quả học tập và rèn luyện của sinh viên trong học kỳ trước đó và được xét vào đầu học kỳ.
Quy định về Học bổng Khuyến khích học tập xem tại https://storage.googleapis.com/ehust/docs/20230710%201.%20Q%C4%90%20Ho%CC%A3c%20bo%CC%82%CC%89ng%20KKHT%202023.pdf","['Xin lỗi, tôi không có thông tin để trả lời câu hỏi', '  Để xin giấy chứng nhận học bổng khuyến khích học tập, bạn có thể liên hệ với phòng Công tác sinh viên của trường đại học hoặc cao đẳng nơi bạn đang theo học. Họ sẽ cung cấp cho bạn thông tin về cách thức nộp đơn và nhận giấy chứng nhận. ', '\nĐể xin giấy chứng nhận học bổng khuyến khích học tập, bạn có thể liên hệ với phòng công tác sinh viên hoặc phòng đào tạo của trường đại học nơi bạn đang theo học. Họ sẽ cung cấp cho bạn các thông tin và hướng dẫn cần thiết để xin giấy chứng nhận. ', '\nĐể xin giấy chứng nhận học bổng khuyến khích học tập, bạn cần tuân theo các bước sau:\n\n1. Kiểm tra xem bạn có đủ điều kiện không: Học bổng khuyến khích học tập dành cho sinh viên đã đăng ký và có kết quả học tập và rèn luyện tốt trong học kỳ trước đó.\n\n2. Thu thập các tài liệu cần thiết: Bạn sẽ cần cung cấp thông tin cá nhân, hồ sơ học thuật và bất kỳ tài liệu bổ sung nào yêu cầu bởi trường hoặc cơ sở giáo dục của bạn.\n\n3. Truy cập trang web hoặc liên hệ với cơ quan liên quan: Theo thông tin được cung cấp, bạn có thể truy cập quy định về Học bổng Khuyến khích học tập tại https://storage.googleapis.com/ehust/docs/20230710%201.%20Q%C4%90%20Ho%CC%A3c%20bo%CC%82%CC%89ng%20KKHT%202023.pdf. Nếu bạn không thể tìm thấy thông tin cần thiết, hãy liên hệ với văn phòng hỗ trợ học bổng hoặc cơ quan liên quan tại trường hoặc cơ sở giáo dục của bạn.\n\n4. Nộp đơn và cung cấp tài liệu: Sau khi bạn đã xác định các yêu cầu và có được các tài liệu cần thiết, bạn có thể nộp đơn cho học bổng khuyến khích học tập. Thông thường, bạn sẽ cần cung cấp thông tin cá nhân, hồ sơ học thuật và bất kỳ tài liệu bổ sung nào yêu cầu.\n\n5. Chờ quyết định: Sau khi nộp đơn, cơ quan liên quan sẽ đánh giá và quyết định về việc bạn có đủ điều kiện nhận học bổng khuyến khích học tập hay không. Thông thường, bạn sẽ nhận được quyết định vào đầu học kỳ.\n\nHãy nhớ rằng quy trình và yêu cầu cụ thể có thể thay đổi tùy thuộc vào trường hoặc cơ sở giáo dục của bạn, vì vậy luôn tốt nhất là kiểm tra với họ để có thông tin chính xác nhất.', 'Xin lỗi bạn, tôi không có thông tin về địa điểm cấp giấy chứng nhận học bổng khuyến khích học tập. Nếu bạn muốn tìm hiểu về học bổng khuyến khích học tập, mời bạn xem tại https://storage.googleapis.com/ehust/docs/20230710%201.%20Q%C4%90%20Ho%CC%A3c%20bo%CC%82%CC%89ng%20KKHT%202023.pdf']","[3, 1, 1, 2, 5]",
ctsv_530_0_0,em chào thầy/cô ạ. em muốn xin giấy xác nhận sinh viên để xin tạm hoãn nghĩa vụ quân sự trong tuần này nhưng thẻ sinh viên của em hết hạn thì bao lâu e có thể xin được giấy ạ,"Trường hợp sinh viên đã đăng kí giấy tờ trên hệ thống cần theo dõi tình trạng xử lý yêu cầu cấp giấy, nếu trên hệ thống ghi là ""Đã in"" tức là yêu cầu đã xử lý xong và bạn có thể lên Ban CTSV để nhận giấy. Nếu quá 2 ngày mà bạn vẫn chưa thấy trạng thái ""Đã in"" thì bạn nên liên hệ trực tiếp Ban CTSV (Phòng 103 nhà C1) để yêu cầu được hỗ trợ. 
Sinh viên có thẻ sinh viên bị mất/hỏng/hết hạn, có nhu cầu làm lại thẻ sinh viên đăng ký và làm theo hướng dẫn tại https://ctsv.hust.edu.vn/#/viet-giay/03_%C4%90KLLTSV. Nếu có thắc mắc liên hệ trực tiếp với Ban CTSV tại phòng 102 - C1.
Sinh viên làm giấy xin tạm hoãn nghĩa vụ quân sự cần có giấy chứng nhận sinh viên (giấy xác nhận sinh viên) của Trường để nộp lại cho địa phương. Bạn có thể đăng kí làm giấy online trên hệ thống iCTSV sau đó nhận tại Ban CTSV trong vòng 2 ngày. Hướng dẫn chi tiết cấp giấy tờ cho sinh viên mời bạn xem tại https://ctsv.hust.edu.vn/#/so-tay-sv/63/cap-giay-to-cho-sinh-vien-giay-gioi-thieu-giay-chung-nhan-giay-vay-von-ngan-hang-giay-lam-the-xe-buyt. Một số địa phương yêu cầu thêm biên lai thu học phí hoặc trích sao bảng điểm trong thủ tục tạm hoãn NVQS, bạn liên hệ Ban Đào tạo theo hướng dẫn tại https://ctsv.hust.edu.vn/#/so-tay-sv/69/ban-dao-tao-huong-dan-thu-tuc-bieu-mau-thac-mac-ve-hoc-tap-hoc-phi.","['Đối với giấy tờ SV đăng ký trực tuyến (online): Cán bộ Phòng CTSV sẽ xử lý trong vòng 1 ngày làm việc và hẹn lịch trả lời kết quả cho SV trong vòng 2 ngày làm việc.\nĐối với giấy tờ SV nộp trực tiếp tại Phòng CTSV: Cán bộ Phòng CTSV sẽ xử lý ngay khi tiếp nhận hồ sơ và hẹn lịch trả lời kết quả cho SV trong vòng 2 ngày làm việc.', '\nXin chào! Để xin giấy xác nhận sinh viên (giấy xác nhận sinh viên) để xin tạm hoãn nghĩa vụ quân sự, bạn cần tuân theo các bước sau:\n\n1. Đăng ký làm giấy tờ trực tuyến trên hệ thống iCTSV:\n   - Truy cập https://ctsv.hust.edu.vn/#/so-tay-sv/63/cap-giay-to-cho-sinh-vien-giay-gioi-thieu-giay-chung-nhan-giay-vay-von-ngan-hang-giay-lam-the-xe-buyt\n\n2. Điền thông tin cần thiết và hoàn tất quá trình đăng ký:\n\n3. Sau khi đăng ký, bạn sẽ nhận được giấy xác nhận sinh viên (giấy xác nhận sinh viên) tại Ban CTSV trong vòng 2 ngày làm việc.\n\nNếu bạn gặp bất kỳ vấn đề hoặc cần hỗ trợ trong quá trình đăng ký, bạn có thể liên hệ trực tiếp với Ban CTSV tại phòng 102 - C1.', '\nXin chào! Để xin giấy xác nhận sinh viên (giấy xác nhận sinh viên) để xin tạm hoãn nghĩa vụ quân sự, bạn cần đăng ký trên hệ thống iCTSV và nhận tại Ban CTSV trong vòng 2 ngày kể từ khi đăng kí. Vì thẻ sinh viên của bạn đã hết hạn, bạn nên liên hệ trực tiếp với Ban CTSV tại phòng 102 - C1 để được hỗ trợ trong việc làm lại thẻ sinh viên trước khi đăng kí.', '\n\nChào bạn,\n\nTheo thông tin bạn cung cấp, bạn cần có giấy chứng nhận sinh viên (giấy xác nhận sinh viên) của Trường để nộp lại cho địa phương để xin tạm hoãn nghĩa vụ quân sự. Tuy nhiên, bạn có đề cập rằng thẻ sinh viên của bạn đã hết hạn.\n\nĐể xin giấy xác nhận sinh viên, bạn cần có thẻ sinh viên còn hiệu lực. Nếu thẻ sinh viên của bạn đã hết hạn, bạn cần làm lại thẻ sinh viên trước khi có thể xin giấy xác nhận sinh viên.\n\nBạn có thể đăng kí làm thẻ sinh viên online trên hệ thống iCTSV và nhận tại Ban CTSV trong vòng 2 ngày. Hướng dẫn chi tiết cấp giấy tờ cho sinh viên mời bạn xem tại https://ctsv.hust.edu.vn/#/so-tay-sv/63/cap-giay-to-cho-sinh-vien-giay-gioi-thieu-giay-chung-nhan-giay-vay-von-ngan-hang-giay-lam-the-xe-buyt.\n\nSau khi làm lại thẻ sinh viên, bạn có thể đăng ký giấy chứng nhận sinh viên (giấy xác nhận sinh viên) trên hệ thống iCTSV và nhận tại Ban CTSV trong vòng 2 ngày.\n\nNếu bạn có bất kỳ câu hỏi nào, vui lòng hỏi. ', '\n\nChào bạn, tôi rất vui được giúp bạn. Theo thông tin bạn cung cấp, nếu thẻ sinh viên của bạn hết hạn, bạn có thể đăng ký làm giấy xác nhận sinh viên (giấy chứng nhận sinh viên) trên hệ thống iCTSV và nhận tại Ban CTSV trong vòng 2 ngày. Bạn có thể truy cập vào https://ctsv.hust.edu.vn/#/viet-giay/03_%C4%90KLLTSV để đăng ký làm giấy xác nhận sinh viên. \n\nNếu bạn có bất kỳ câu hỏi nào khác, vui lòng hỏi. ', '\n\nChào bạn, tôi rất vui lòng giúp đỡ bạn. Theo thông tin bạn cung cấp, nếu thẻ sinh viên của bạn hết hạn, bạn có thể đăng ký làm giấy xác nhận sinh viên (giấy chứng nhận sinh viên) trên hệ thống iCTSV và nhận tại Ban CTSV trong vòng 2 ngày. Bạn có thể truy cập vào đường link sau để biết thêm thông tin chi tiết: https://ctsv.hust.edu.vn/#/so-tay-sv/63/cap-giay-to-cho-sinh-vien-giay-gioi-thieu-giay-chung-nhan-giay-vay-von-ngan-hang-giay-lam-the-xe-buyt. \n\nNếu bạn có bất kỳ câu hỏi nào khác, xin đừng ngần ngại hỏi. ', '\nXin chào! Tôi rất vui lòng giúp bạn với thông tin liên quan đến giấy xác nhận sinh viên cho tạm hoãn nghĩa vụ quân sự.\n\nTheo thông tin được cung cấp, bạn có thể đăng kí làm giấy tờ trực tuyến trên hệ thống iCTSV và nhận giấy xác nhận sinh viên tại Ban CTSV trong vòng 2 ngày. Nếu bạn cần làm lại thẻ sinh viên, bạn có thể làm theo hướng dẫn tại https://ctsv.hust.edu.vn/#/viet-giay/03_%C4%90KLLTSV.\n\nNếu bạn có bất kỳ câu hỏi hoặc cần sự trợ giúp thêm, bạn có thể liên hệ trực tiếp với Ban CTSV tại phòng 102 - C1.', '\n\nChào bạn, tôi hiểu rằng bạn muốn xin giấy xác nhận sinh viên để xin tạm hoãn nghĩa vụ quân sự, nhưng thẻ sinh viên của bạn đã hết hạn. Theo quy định, bạn cần có thẻ sinh viên còn hiệu lực để được cấp giấy xác nhận sinh viên. Tuy nhiên, nếu bạn không thể làm thẻ sinh viên mới ngay lập tức, bạn có thể liên hệ với Ban CTSV để được hỗ trợ. Họ có thể hướng dẫn bạn về cách xử lý tình huống này. Bạn có thể liên hệ trực tiếp với Ban CTSV tại phòng 102 - C1 hoặc qua email ctsv.hust@gmail.com. ']","[2, 3, 2, 1, 4, 4, 5, 1]",
qa_test_phase_1_1086_0_0,cảm xúc hỗn loạn buồn vui lẫn lộn tiêu cực nhiều hơn ko biết có bệnh về tâm lý ko,,"['Xin lỗi, tôi không có thông tin để trả lời câu hỏi', '  Cảm xúc hỗn loạn buồn vui lẫn lộn có thể là dấu hiệu của bệnh về tâm lý, như trầm cảm, lo âu, hoặc rối loạn tâm trạng hỗn hợp. Nếu bạn đang trải qua những cảm xúc này, việc tìm kiếm sự giúp đỡ từ một chuyên gia sức khỏe tâm thần là rất quan trọng. Họ có thể giúp bạn xác định nguyên nhân gốc rễ của cảm xúc của bạn và cung cấp các chiến lược để quản lý chúng. Hãy nhớ, việc thảo luận về cảm xúc và sức khỏe tâm thần của bạn với một người bạn tin cậy hoặc thành viên trong gia đình mà bạn tin tưởng là rất quan trọng. Họ có thể cung cấp sự hỗ trợ và giúp bạn tìm kiếm sự giúp đỡ nếu cần. ', '  Cảm xúc hỗn loạn có thể là một trải nghiệm khó khăn và có thể là dấu hiệu của một số vấn đề tâm lý. Tuy nhiên, điều quan trọng là phải hiểu rằng không phải ai có cảm xúc hỗn loạn cũng có bệnh về tâm lý. Cảm xúc hỗn loạn có thể do nhiều yếu tố khác nhau gây ra, như căng thẳng, lo âu, hoặc thậm chí là những trải nghiệm cảm xúc tích cực.\n\nNếu bạn đang trải qua cảm xúc hỗn loạn và cảm thấy nó ảnh hưởng đến cuộc sống hàng ngày của bạn, bạn nên tìm kiếm sự giúp đỡ từ một chuyên gia tâm lý. Họ có thể giúp bạn hiểu nguyên nhân của cảm xúc hỗn loạn của bạn và cung cấp cho bạn các công cụ để quản lý chúng một cách hiệu quả. ']","[1, 4, 4]",
dao_tao_155_0_0,Em muốn xin cấp giấy xác nhận trình độ ngoại ngữ tương đương thì liên hệ đơn vị nào và theo mẫu đơn nào (nếu có) ạ?,"Bạn không cần phải làm giấy xác nhận chứng chỉ ngoại ngữ tương đương, bạn chỉ cần làm thủ tục hậu kiểm chứng chỉ ngoại ngữ tại CLA để được cập nhật điểm lên hệ thống. 
Bạn tham khảo thêm quy định về chuẩn ngoại ngữ tại https://ctt.hust.edu.vn/Upload/Nguyen%20Quoc%20Dat/files/DTDH_QDQC/Hoctap/QD%20NN%20DHCQ-2020-2021-1501.pdf.","['Bạn tham khảo danh mục quy đổi tương đương các chứng chỉ tiếng Anh xem tại https://hust.edu.vn/uploads/sys/su-kien-noi-bat/2023_08/qd7806.2023-ban-hanh-danh-muc-quy-doi-tuong-duong-cac-chung-chi-tieng-anh.pdf', '  Để xin cấp giấy xác nhận trình độ ngoại ngữ tương đương, bạn nên liên hệ với Phòng Đào tạo của trường Đại học của bạn. Họ sẽ cung cấp cho bạn mẫu đơn cần thiết, nếu có. Trong trường hợp của bạn, vì bạn không cần phải làm giấy xác nhận chứng chỉ ngoại ngữ tương đương, bạn chỉ cần làm thủ tục hậu kiểm chứng chỉ ngoại ngữ tại CLA để được cập nhật điểm lên hệ thống. Bạn có thể tham khảo thêm quy định về chuẩn ngoại ngữ tại https://ctt.hust.edu.vn/Upload/Nguyen%20Quoc%20Dat/files/DTDH_QDQC/Hoctap/QD%20NN%20DHCQ-2020-2021-1501.pdf. Hãy nhớ rằng việc làm thủ tục hậu kiểm chứng chỉ ngoại ngữ là đủ để cập nhật điểm lên hệ thống. ']","[3, 4]",
dao_tao_191_0_0,Phòng đào tạo hướng dẫn thủ tục làm bảng điểm tốt nghiệp giúp em với ạ.,"Hướng dẫn làm thủ tục thanh toán ra Trường - Đối với sinh viên tốt nghiệp và nhận bằng theo các đợt tốt nghiệp:
a) Sinh viên đã hoàn thành công nợ (học phí, sách mượn thư viện, hồ sơ giảm học phí do Covid19 - nếu có) trước thời gian Nhà trường tổ chức Lễ tốt nghiệp 01 tuần: Sinh viên không cần phải làm thủ tục thanh toán ra Trường và nhận hồ sơ tốt nghiệp (bằng và hồ sơ liên quan khác) sau Lễ tốt nghiệp (theo lịch trả của Trường/ Viện đào tạo).
b) Sinh viên chưa hoàn thành công nợ (một trong các công nợ sau: học phí, sách mượn thư viện, hồ sơ giảm học phí do Covid19 - nếu có):
Bước 1: Tải Giấy thanh toán ra Trường tại https://ctt.hust.edu.vn/Upload/Nguyen%20Viet%20Tien/files/M%E1%BA%ABu-Gi%E1%BA%A5y-thanh-to%C3%A1n-ra-tr%C6%B0%E1%BB%9Dng.doc và in ra 01 bản.
Bước 2: Mang Giấy thanh toán ra Trường đến các đơn vị còn công nợ để thanh toán (Học phí đến Ban Đào tạo - 202 Nhà C1; sách đến Thư viện – Tầng 1 Tòa nhà Thư viện Tạ Quang Bửu; Hồ sơ giảm HP do dịch bệnh Covid-19: Bàn số 3 Phòng 103-C1) và ký giấy thanh toán ra Trường vào các ô liên quan.
Bước 3: Mang Giấy thanh toán ra Trường đến Ban Công tác Sinh viên (Phòng 102 Nhà C1) để ký xác nhận đã hoàn thành công nợ.
Bước 4: Nhận hồ sơ tốt nghiệp tại Trường/ Viện đào tạo (theo lịch trả của Trường/ Viện đào tạo).","['Để yêu cầu sao chép bảng điểm, vui lòng email đến hanh.tranthi@hust.edu.vn và kiểm tra hướng dẫn tại https://husteduvn.sharepoint.com/:w:/s/NguyenXuanTung_PDT/EeCW4MRDLJZNkQDxHz7nv4ABofH2fz-g9Fi3IIB_KH9u9w?e=Uxz5XH.']",[4],
qa_test_phase_1_769_0_0,quên mật khẩu email thì phải liên hệ với đơn vị nào,Cấp Mật khẩu email: Liên hệ Trung tâm mạng thông tin tại https://ctt.hust.edu.vn/account/resetpassword,"['Xin lỗi, tôi không có thông tin để trả lời câu hỏi', '  Để lấy lại mật khẩu email, bạn có thể liên hệ với Trung tâm Mạng thông tin tại https://ctt.hust.edu.vn/account/resetpassword. Họ sẽ hỗ trợ bạn trong việc cấp lại mật khẩu email. ', '  Để quên mật khẩu email, bạn nên liên hệ với Trung tâm mạng thông tin. Bạn có thể làm điều này bằng cách truy cập https://ctt.hust.edu.vn/account/resetpassword và làm theo các bước được cung cấp để đặt lại mật khẩu của bạn. ', '\nLiên hệ Trung tâm mạng thông tin tại https://ctt.hust.edu.vn/account/resetpassword để được hỗ trợ cấp lại mật khẩu email. ', '\nĐể quên mật khẩu email, bạn phải liên hệ với Trung tâm mạng thông tin. Bạn có thể làm điều này bằng cách truy cập https://ctt.hust.edu.vn/account/resetpassword và theo các bước được cung cấp để đặt lại mật khẩu của bạn.', '  Để lấy lại mật khẩu email, bạn nên liên hệ với Trung tâm mạng thông tin tại https://ctt.hust.edu.vn/account/resetpassword/. ', '\nLiên hệ Trung tâm mạng thông tin tại https://ctt.hust.edu.vn/account/resetpassword để cấp lại mật khẩu email. ']","[1, 4, 3, 2, 3, 2, 1]",
qa_test_phase_1_272_0_0,em được nhận giấy khen tốt nghiệp loại xuất sắc nhưng do công việc em không về dự lễ tốt nghiệp được thì em đến đâu để nhận giấy khen sau ạ,Bạn đến Bàn số 8 Phòng 104 nhà C1 để nhận giấy khen tốt nghiệp xuất sắc.,"['Xin lỗi, tôi không có thông tin để trả lời câu hỏi', '\nBạn có thể đến Bàn số 8 Phòng 104 nhà C1 để nhận giấy khen tốt nghiệp xuất sắc. ', '\nBạn đến Bàn số 8 Phòng 104 nhà C1 để nhận giấy khen tốt nghiệp xuất sắc. ', '  Để nhận giấy khen tốt nghiệp xuất sắc mà em đã được nhận, em cần đến Bàn số 8 Phòng 104 nhà C1 để nhận giấy. ']","[2, 3, 3, 1]",
